Name,Age,GPA,Credits Completed,Year,Pathway
Mark Williams,17,3.39,0,Senior,Early College
Mark Johnson,15,0.37,4,Super Senior,Medical
Mike West,18,3.64,40,Freshman,Early Childhood Education
Elizabeth Johnson,17,3.06,1,Senior,Early Childhood Education
Kevin Johnson,18,1.63,39,Super Senior,Medical
Daniel Johnson,15,4.25,5,Super Senior,Criminal Justice
Daniel Smith,18,3.63,39,Senior,Criminal Justice
Mike Smith,15,3.75,35,Senior,Early Childhood Education
Mary Wilson,19,1.96,27,Jenior,Biology
Jennifer West,19,2.3,5,Super Senior,Biology
David Moore,15,2.41,54,Jenior,Business
Robert Thomas,14,1.1,11,Freshman,Early College
Patricia Miller,19,1.36,10,Sophomore,Engineering
Linda Jones,19,2.92,49,Jenior,Early Childhood Education
Linda Moore,18,1.62,14,Super Senior,Business
John Miller,17,2.48,1,Jenior,Medical
Elizabeth Williams,19,1.8,13,Super Senior,Biology
Patricia Davis,16,1.85,42,Jenior,Criminal Justice
James Anderson,19,2.76,5,Senior,Biology
Mike Brown,17,2.51,6,Super Senior,Biology
Mark Brown,14,3.55,14,Freshman,Engineering
Mark Miller,15,3.2,1,Super Senior,Early College
David West,16,1.29,20,Senior,Early Childhood Education
Mike Jones,19,1.37,34,Sophomore,Early College
Mark Moore,19,0.47,37,Super Senior,Medical
Robert Moore,14,3.2,8,Senior,Marketing
Daniel Thomas,19,2.06,11,Super Senior,Criminal Justice
Robert Moore,15,4.02,51,Senior,Early College
Elizabeth Wilson,14,2.11,19,Jenior,Biology
Linda Taylor ,14,2.74,46,Sophomore,Marketing
David Miller,14,2.87,30,Sophomore,Early College
Mary Miller,19,2.7,34,Super Senior,Marketing
James Smith,19,2.13,16,Jenior,Criminal Justice
John Taylor ,15,0.92,20,Sophomore,Medical
Kevin Thomas,18,2.04,17,Super Senior,Criminal Justice
Linda Johnson,19,2.03,55,Jenior,Engineering
Kanye Moore,19,4.03,17,Super Senior,Marketing
David Anderson,16,3.66,2,Freshman,Marketing
Kanye Taylor ,18,0.84,53,Freshman,Medical
Daniel West,16,2.03,57,Sophomore,Early Childhood Education
Chris Williams,17,1.02,47,Freshman,Biology
Elizabeth West,19,2.63,34,Super Senior,Medical
David Williams,17,1.4,19,Super Senior,Marketing
Mary Taylor ,19,0.78,19,Jenior,Biology
Elizabeth Taylor ,14,0.76,0,Sophomore,Early Childhood Education
Kevin Anderson,16,3.23,26,Sophomore,Marketing
Robert Anderson,15,3.24,57,Super Senior,Marketing
Mike Thomas,19,0.92,21,Sophomore,Engineering
Mary Smith,14,1.06,21,Senior,Criminal Justice
John Wilson,14,0.48,20,Jenior,Engineering
Robert Brown,17,1.58,35,Sophomore,Biology
David Smith,14,2.54,47,Sophomore,Biology
Kanye Smith,16,0.61,3,Freshman,Marketing
Kanye Anderson,17,4.5,10,Jenior,Early Childhood Education
Chris Davis,18,0.59,18,Freshman,Engineering
Linda Miller,17,2.16,52,Sophomore,Medical
Paul Jones,17,0.54,39,Sophomore,Medical
Chris Anderson,16,2.27,5,Freshman,Biology
Robert Taylor ,15,4.36,33,Super Senior,Engineering
Kevin Anderson,16,4.36,30,Sophomore,Early College
Mark Anderson,19,3.14,35,Super Senior,Early Childhood Education
David Moore,18,3.1,11,Sophomore,Early College
David Moore,19,1.2,10,Freshman,Early Childhood Education
Elizabeth Miller,19,2.15,9,Senior,Marketing
James Johnson,19,1.9,58,Freshman,Early Childhood Education
Chris Jones,17,0.99,42,Senior,Marketing
Jennifer Anderson,18,0.49,53,Super Senior,Business
Chris Smith,17,0.62,44,Freshman,Biology
David Thomas,16,1.97,47,Senior,Medical
David Jones,19,3.8,49,Jenior,Engineering
David Anderson,19,1.81,27,Senior,Engineering
Patricia Anderson,15,0.54,17,Jenior,Biology
Robert West,16,2.29,43,Senior,Biology
Paul Johnson,16,3.45,49,Jenior,Marketing
Kanye Smith,16,3.05,27,Freshman,Business
John Brown,19,2.17,1,Senior,Early Childhood Education
Robert Moore,18,1.42,35,Senior,Medical
Daniel Wilson,17,2.58,14,Freshman,Early College
Chris Thomas,18,3.8,58,Sophomore,Early Childhood Education
Jennifer Davis,17,0.85,49,Jenior,Marketing
John Taylor ,17,3.28,47,Sophomore,Engineering
Patricia Miller,15,3.43,51,Super Senior,Marketing
John Jones,19,4.2,52,Senior,Criminal Justice
Daniel Anderson,15,3.21,15,Jenior,Medical
Mike Johnson,15,4.21,44,Sophomore,Criminal Justice
Robert West,14,3.66,42,Senior,Early College
Daniel Taylor ,15,1.18,11,Sophomore,Medical
Elizabeth Anderson,16,3.3,3,Freshman,Marketing
David Wilson,19,1.67,49,Sophomore,Marketing
Jennifer Taylor ,19,2.53,41,Sophomore,Criminal Justice
Mark Miller,17,0.48,57,Sophomore,Early Childhood Education
John Anderson,15,2.72,29,Sophomore,Marketing
Jennifer Jones,17,3.75,54,Super Senior,Engineering
John Jones,17,3.85,18,Sophomore,Criminal Justice
Mark Thomas,14,3.02,25,Jenior,Criminal Justice
Linda Miller,14,4.42,43,Sophomore,Business
Jennifer Thomas,19,0.58,42,Senior,Engineering
David Smith,17,0.52,14,Jenior,Engineering
Linda Anderson,17,3.75,20,Sophomore,Early College
Robert Taylor ,18,3.42,6,Senior,Early College
Kevin Jones,14,0.99,51,Super Senior,Early Childhood Education
Kevin Davis,14,0.71,10,Sophomore,Medical
Mark Johnson,17,3.7,30,Super Senior,Criminal Justice
Kanye Jones,18,0.57,40,Super Senior,Engineering
Kevin Jones,15,3.07,45,Jenior,Engineering
Linda Wilson,17,1.39,29,Super Senior,Early Childhood Education
James Johnson,14,1.75,7,Super Senior,Medical
Jennifer Johnson,16,1.43,17,Jenior,Biology
Chris Thomas,16,2.57,55,Sophomore,Medical
Robert West,15,0.84,41,Sophomore,Engineering
Mary Smith,14,3.43,26,Sophomore,Early College
Linda Williams,16,3.49,13,Sophomore,Early Childhood Education
Daniel Anderson,17,1.01,41,Senior,Engineering
Linda Jones,14,0.8,47,Sophomore,Early Childhood Education
Mary Taylor ,17,0.32,39,Freshman,Biology
Robert Moore,14,3.46,50,Freshman,Marketing
Daniel Jones,14,3.01,1,Super Senior,Medical
Kevin Wilson,16,1.14,7,Jenior,Business
Jennifer Brown,17,4.34,23,Freshman,Biology
Mark Jones,18,2.04,25,Sophomore,Early Childhood Education
Chris Smith,18,3.28,30,Super Senior,Engineering
John Wilson,18,4.11,29,Jenior,Early Childhood Education
John Brown,15,3.32,34,Sophomore,Biology
Paul Anderson,14,4.46,5,Freshman,Medical
Mike Davis,18,0.59,49,Sophomore,Marketing
Mary Miller,18,2.12,6,Sophomore,Business
John Taylor ,16,2.46,12,Super Senior,Biology
Daniel Wilson,17,2.79,54,Super Senior,Early Childhood Education
Linda Thomas,16,3.16,12,Super Senior,Early College
Mary Wilson,16,1.71,56,Super Senior,Engineering
Linda Taylor ,18,1.13,3,Super Senior,Early College
James Jones,16,0.8,42,Freshman,Early Childhood Education
Patricia West,16,2.54,49,Freshman,Marketing
Kanye Jones,18,1.68,28,Jenior,Biology
Mark Jones,14,3.74,14,Sophomore,Early Childhood Education
Robert Davis,14,1.75,37,Super Senior,Biology
Mary Anderson,16,2.23,55,Super Senior,Criminal Justice
James Smith,16,1.5,42,Sophomore,Marketing
David Jones,16,3.78,2,Freshman,Early College
Paul Johnson,19,0.61,33,Super Senior,Marketing
Mark Williams,15,3.43,44,Jenior,Early College
David Jones,19,2.55,10,Freshman,Biology
Daniel Moore,14,1.83,5,Sophomore,Early College
David Jones,15,3.75,31,Jenior,Early Childhood Education
Chris Smith,16,3.77,37,Jenior,Criminal Justice
Mary Williams,17,3.89,35,Sophomore,Criminal Justice
Elizabeth Johnson,16,4.14,23,Super Senior,Early Childhood Education
Kanye Davis,17,3.76,21,Freshman,Biology
James Thomas,18,0.67,15,Jenior,Early Childhood Education
Robert Davis,19,4.11,47,Freshman,Criminal Justice
Chris Davis,18,1.83,32,Jenior,Biology
John Moore,15,1.33,6,Freshman,Engineering
Linda Williams,17,0.78,4,Sophomore,Biology
Mark Williams,14,2.1,57,Freshman,Medical
David Jones,19,3.17,8,Sophomore,Early Childhood Education
Patricia Jones,15,1.85,2,Freshman,Early College
Patricia Jones,17,4.23,54,Jenior,Business
Mary West,16,2.39,44,Senior,Marketing
Chris Anderson,17,0.73,19,Super Senior,Marketing
Kevin Wilson,19,0.78,31,Senior,Early Childhood Education
Kanye Jones,16,1.42,39,Super Senior,Early Childhood Education
Mike Anderson,16,1.56,30,Sophomore,Early Childhood Education
Kevin Johnson,17,3.73,59,Sophomore,Engineering
Mary Williams,18,0.83,58,Senior,Marketing
David Moore,15,4.49,54,Jenior,Criminal Justice
Paul Brown,19,2.88,33,Jenior,Business
Daniel Johnson,17,2.88,40,Senior,Criminal Justice
Mike Thomas,16,2.07,18,Sophomore,Criminal Justice
Kevin Smith,16,0.92,26,Senior,Biology
Paul Jones,19,3.95,42,Super Senior,Early College
John Wilson,15,4.48,34,Freshman,Biology
Mark Davis,16,3.27,16,Sophomore,Engineering
Kanye Jones,14,2.47,37,Sophomore,Medical
John Williams,18,2.14,22,Super Senior,Criminal Justice
Elizabeth Davis,16,1.33,19,Senior,Biology
Patricia Taylor ,14,2.73,11,Sophomore,Criminal Justice
Kevin West,16,1.2,53,Sophomore,Marketing
John Thomas,17,0.5,8,Sophomore,Criminal Justice
Paul Smith,14,0.38,23,Jenior,Biology
David Williams,18,1.05,25,Senior,Medical
Daniel Taylor ,15,1.14,52,Jenior,Biology
John Williams,19,2.66,4,Super Senior,Marketing
Robert Brown,16,0.84,15,Jenior,Early College
Mike West,19,2.94,58,Freshman,Engineering
Robert West,19,4.42,58,Sophomore,Marketing
Mike West,19,1.41,49,Senior,Engineering
Mark Brown,18,4.22,60,Freshman,Biology
John Anderson,14,0.76,58,Sophomore,Medical
Daniel Jones,14,0.64,48,Senior,Business
Linda Johnson,16,2.41,19,Freshman,Business
Kanye Davis,15,4.37,25,Sophomore,Medical
Kevin Jones,14,1.84,59,Freshman,Marketing
Jennifer Davis,17,2.3,21,Sophomore,Medical
Mike Davis,16,4.21,35,Super Senior,Business
Kevin Moore,14,4.14,37,Senior,Biology
Linda Jones,17,0.36,35,Freshman,Early College
Mike Davis,19,3.15,58,Super Senior,Biology
Mary Anderson,18,4.07,17,Freshman,Marketing
Elizabeth Smith,14,1.97,45,Sophomore,Medical
Kevin Anderson,19,2.83,35,Sophomore,Criminal Justice
Kevin West,19,0.8,33,Sophomore,Biology
John Miller,17,3.01,46,Super Senior,Marketing
Mike Smith,19,1.03,6,Jenior,Criminal Justice
Mike Wilson,19,4.29,55,Senior,Business
Mike Jones,14,4.49,34,Freshman,Criminal Justice
Mary Wilson,18,4.11,24,Senior,Business
Daniel Davis,14,1.04,45,Senior,Business
Paul Williams,17,0.31,36,Freshman,Biology
Paul Davis,14,3.29,47,Freshman,Engineering
Paul Jones,14,2.64,22,Senior,Engineering
Elizabeth Williams,19,3.93,10,Sophomore,Engineering
Mike Taylor ,17,0.57,16,Senior,Medical
Elizabeth Miller,14,3.84,21,Super Senior,Biology
Robert Williams,14,3.11,50,Senior,Biology
Daniel Smith,17,2.59,24,Super Senior,Early Childhood Education
Elizabeth Taylor ,19,2.33,28,Jenior,Engineering
Linda Jones,18,2.58,53,Freshman,Marketing
Mike Smith,16,3.48,6,Super Senior,Criminal Justice
Linda Davis,16,0.5,0,Super Senior,Criminal Justice
Chris Wilson,18,0.32,39,Jenior,Business
John Thomas,19,3.59,36,Senior,Criminal Justice
Mark Thomas,16,1.83,0,Senior,Early Childhood Education
Jennifer Wilson,16,2.29,28,Sophomore,Engineering
Mary Jones,18,0.32,57,Jenior,Medical
Daniel Davis,18,1.52,47,Senior,Marketing
Kanye Smith,17,1.14,59,Senior,Early College
Mike West,14,1.11,25,Jenior,Early Childhood Education
James Jones,19,2.78,29,Freshman,Business
Kanye Moore,14,3.09,14,Super Senior,Marketing
Jennifer Johnson,15,2.0,58,Super Senior,Early Childhood Education
Kevin Williams,18,0.87,54,Sophomore,Medical
David Anderson,15,3.54,58,Freshman,Biology
Elizabeth Johnson,19,3.38,25,Sophomore,Engineering
James Brown,17,1.42,60,Jenior,Criminal Justice
James Thomas,18,0.57,18,Freshman,Biology
Kevin Smith,15,2.04,46,Senior,Engineering
Robert Wilson,17,3.96,1,Jenior,Medical
Chris Johnson,18,4.35,14,Freshman,Early College
Chris Wilson,14,3.84,45,Freshman,Engineering
Jennifer Williams,17,4.02,9,Sophomore,Medical
Jennifer Johnson,16,4.01,53,Super Senior,Biology
James Anderson,18,0.86,46,Jenior,Engineering
Patricia Smith,16,1.4,55,Senior,Business
Kanye Moore,17,1.91,26,Super Senior,Early Childhood Education
Mark Brown,15,2.13,13,Senior,Medical
John Miller,17,1.82,52,Sophomore,Business
Paul Thomas,16,1.22,15,Sophomore,Engineering
Chris Davis,17,3.88,14,Senior,Business
Mary West,16,0.4,48,Super Senior,Medical
Jennifer Thomas,15,1.02,14,Senior,Marketing
James Miller,18,1.77,7,Super Senior,Medical
John Moore,14,1.1,34,Senior,Early Childhood Education
John Jones,18,3.81,24,Super Senior,Biology
John Miller,16,1.34,53,Sophomore,Criminal Justice
Kanye Johnson,19,0.32,35,Senior,Business
Patricia Anderson,16,0.55,44,Super Senior,Criminal Justice
Paul West,19,2.35,37,Freshman,Early College
Chris Jones,17,1.33,44,Sophomore,Marketing
Linda Thomas,14,2.08,38,Super Senior,Marketing
Daniel Johnson,18,0.47,10,Sophomore,Medical
Elizabeth Johnson,19,3.72,24,Sophomore,Engineering
Mary Anderson,17,1.61,15,Freshman,Marketing
Kevin Brown,15,2.34,58,Senior,Marketing
Kevin Smith,15,1.05,52,Sophomore,Engineering
John Jones,14,2.83,1,Sophomore,Early College
Robert Wilson,18,2.63,60,Freshman,Biology
Jennifer Miller,14,1.65,8,Super Senior,Engineering
Jennifer Williams,15,3.85,51,Sophomore,Engineering
Mary Taylor ,15,2.05,23,Super Senior,Marketing
John Anderson,14,1.12,50,Super Senior,Engineering
Mary Miller,18,0.34,11,Freshman,Medical
Linda Davis,16,1.39,12,Jenior,Engineering
Daniel Williams,15,4.34,26,Senior,Engineering
Chris Smith,14,4.08,39,Jenior,Biology
Daniel West,18,3.24,23,Super Senior,Early Childhood Education
Robert Jones,19,1.72,57,Jenior,Early College
Kanye Anderson,15,0.67,54,Freshman,Medical
Daniel Smith,19,4.23,33,Senior,Marketing
Linda Moore,14,1.45,4,Sophomore,Marketing
Paul Taylor ,15,1.93,35,Sophomore,Medical
Robert Taylor ,18,0.62,57,Super Senior,Criminal Justice
David Williams,17,0.6,7,Freshman,Business
Chris West,17,3.61,1,Senior,Business
Robert Jones,16,0.74,16,Super Senior,Biology
Mike Anderson,19,0.37,50,Freshman,Criminal Justice
Paul Jones,19,2.52,45,Freshman,Early Childhood Education
Kevin Davis,18,2.98,44,Freshman,Business
Mark West,15,1.06,32,Super Senior,Engineering
Linda Thomas,17,4.35,50,Senior,Criminal Justice
Chris Anderson,16,2.42,1,Freshman,Medical
Daniel Johnson,19,3.63,1,Freshman,Early Childhood Education
David Jones,16,2.31,28,Freshman,Criminal Justice
Jennifer West,14,0.58,24,Jenior,Early College
Patricia Anderson,16,1.8,0,Jenior,Medical
Elizabeth Miller,19,0.39,36,Jenior,Marketing
David Jones,18,0.95,39,Super Senior,Engineering
Linda Taylor ,18,4.21,16,Jenior,Early College
Mike Jones,15,3.34,57,Senior,Engineering
James Brown,17,2.07,55,Senior,Marketing
Linda Brown,15,2.55,35,Super Senior,Marketing
Linda Thomas,17,1.99,39,Jenior,Business
James Davis,14,2.8,55,Jenior,Criminal Justice
Jennifer Moore,19,0.66,10,Sophomore,Early Childhood Education
Daniel Williams,16,1.02,14,Sophomore,Early Childhood Education
Linda Brown,15,2.79,27,Freshman,Medical
David Miller,16,2.5,34,Freshman,Engineering
Mark Johnson,18,0.39,15,Freshman,Biology
John Smith,19,3.62,28,Jenior,Marketing
Jennifer Wilson,15,1.02,39,Senior,Early College
James Wilson,15,3.48,29,Freshman,Early College
Paul Taylor ,14,3.03,49,Freshman,Marketing
Paul Anderson,17,1.11,1,Jenior,Medical
Robert Anderson,18,0.69,17,Super Senior,Biology
Robert West,16,3.9,27,Super Senior,Engineering
Mark Brown,18,2.84,30,Sophomore,Criminal Justice
Linda Brown,17,3.1,22,Jenior,Medical
Kanye Johnson,15,1.31,6,Senior,Marketing
Elizabeth Thomas,14,2.22,0,Freshman,Biology
John West,19,2.79,39,Sophomore,Criminal Justice
Linda Williams,16,2.65,20,Sophomore,Criminal Justice
Jennifer Miller,17,1.02,23,Jenior,Medical
Daniel West,19,1.19,10,Freshman,Early Childhood Education
Daniel Davis,19,2.38,0,Senior,Biology
Mark Wilson,14,0.52,59,Freshman,Early Childhood Education
Kanye Thomas,18,1.81,0,Senior,Biology
Mary Johnson,18,1.92,58,Super Senior,Criminal Justice
David Miller,19,0.69,51,Sophomore,Engineering
Kevin Moore,18,0.68,15,Jenior,Early College
Mark Williams,17,3.43,2,Jenior,Marketing
Kanye Moore,15,4.21,50,Sophomore,Business
Chris Taylor ,16,3.36,37,Super Senior,Business
Mary Wilson,18,4.2,45,Freshman,Medical
John Miller,14,2.26,22,Jenior,Marketing
John Miller,16,2.62,26,Freshman,Medical
Paul Miller,17,2.59,55,Senior,Medical
Chris Smith,18,4.26,56,Jenior,Engineering
Kanye Thomas,18,2.64,4,Sophomore,Engineering
David Moore,16,0.77,48,Freshman,Criminal Justice
Jennifer Moore,14,3.21,51,Sophomore,Biology
David West,15,1.68,55,Sophomore,Early Childhood Education
Kanye Williams,17,3.33,2,Sophomore,Medical
Mark Smith,14,2.11,54,Freshman,Engineering
Mark Smith,16,3.07,39,Sophomore,Business
Daniel Thomas,14,2.03,19,Freshman,Engineering
Paul Wilson,15,0.62,20,Freshman,Engineering
Mark Johnson,14,1.55,19,Sophomore,Biology
Kanye Davis,14,2.39,24,Jenior,Medical
Chris Anderson,17,4.34,38,Senior,Engineering
Linda West,16,0.79,51,Senior,Biology
Kanye Miller,16,0.89,23,Freshman,Early College
Daniel Jones,14,3.31,55,Super Senior,Criminal Justice
Jennifer Wilson,19,1.64,13,Senior,Early College
James Thomas,18,4.48,56,Freshman,Early Childhood Education
Mary Jones,18,4.32,32,Sophomore,Business
Mary Anderson,16,3.25,21,Jenior,Early College
David Miller,16,2.15,49,Sophomore,Engineering
Elizabeth Anderson,18,3.31,45,Jenior,Engineering
Daniel Davis,17,0.53,56,Sophomore,Early Childhood Education
Mark Wilson,14,0.42,26,Freshman,Marketing
Kevin Williams,15,1.83,45,Freshman,Early College
Chris Wilson,17,3.52,32,Jenior,Early College
James Smith,19,3.76,37,Freshman,Early College
Paul Smith,17,0.73,35,Super Senior,Early College
Paul Smith,18,0.9,35,Freshman,Biology
Mark West,14,0.65,41,Sophomore,Criminal Justice
Mary Smith,17,4.38,5,Sophomore,Business
Jennifer West,15,3.76,24,Sophomore,Biology
John Wilson,15,2.17,33,Senior,Biology
Chris Williams,15,1.57,16,Jenior,Business
Daniel Moore,15,3.73,42,Freshman,Marketing
James West,15,2.87,44,Super Senior,Business
Kevin Jones,17,1.27,23,Freshman,Biology
David Thomas,14,4.18,45,Super Senior,Biology
Patricia Jones,19,1.38,10,Super Senior,Engineering
Kevin Smith,17,1.4,16,Super Senior,Engineering
Elizabeth Moore,16,3.56,52,Freshman,Medical
Patricia Anderson,15,4.39,42,Freshman,Early Childhood Education
Elizabeth Smith,15,3.08,32,Senior,Marketing
Kevin Thomas,17,2.1,52,Jenior,Biology
Kevin Taylor ,16,2.28,10,Senior,Medical
Chris Taylor ,14,1.63,43,Jenior,Business
Robert Williams,14,0.89,41,Jenior,Business
Mike Taylor ,16,1.31,3,Freshman,Medical
Mark Moore,14,2.1,32,Super Senior,Marketing
John Thomas,18,2.77,41,Sophomore,Engineering
Robert Williams,15,4.43,32,Freshman,Biology
Linda Thomas,19,2.49,19,Super Senior,Biology
Kanye Thomas,17,3.07,56,Freshman,Business
Mike Wilson,16,2.9,1,Sophomore,Early College
David Smith,14,1.32,5,Super Senior,Early College
Robert Moore,15,2.9,18,Sophomore,Marketing
John Anderson,19,2.49,23,Jenior,Marketing
Kevin Taylor ,17,3.03,53,Super Senior,Marketing
David Thomas,18,1.42,43,Super Senior,Business
Daniel Taylor ,19,0.61,13,Jenior,Early Childhood Education
David Davis,16,2.1,9,Senior,Early College
Elizabeth Davis,14,0.3,33,Senior,Business
David Miller,17,2.12,21,Senior,Medical
Paul Anderson,15,3.37,6,Jenior,Marketing
Mike Jones,16,2.09,9,Jenior,Early College
Mark Williams,19,4.12,28,Jenior,Biology
Mike Johnson,14,3.76,25,Senior,Early College
Mark Johnson,18,3.53,7,Super Senior,Medical
Paul Jones,14,2.53,15,Super Senior,Marketing
Linda Moore,16,1.59,20,Jenior,Early College
Patricia Johnson,19,1.5,59,Senior,Early College
Chris Moore,17,1.15,60,Super Senior,Early College
Robert Thomas,15,2.36,13,Jenior,Early College
Mary Johnson,19,4.3,40,Freshman,Business
Linda Jones,14,4.36,34,Senior,Early College
David Thomas,19,3.79,14,Jenior,Criminal Justice
Linda Smith,17,2.86,40,Senior,Early Childhood Education
Daniel Jones,16,3.43,55,Senior,Business
Daniel Moore,17,2.5,42,Freshman,Engineering
Jennifer West,19,4.41,5,Jenior,Medical
Kevin Johnson,19,2.36,16,Senior,Business
Mike West,19,1.61,55,Super Senior,Engineering
Kevin Moore,14,0.46,55,Sophomore,Criminal Justice
Paul Davis,14,4.35,36,Super Senior,Engineering
Paul West,19,3.6,50,Sophomore,Early Childhood Education
Robert Taylor ,19,0.77,22,Freshman,Biology
Linda Wilson,14,2.0,33,Super Senior,Engineering
Jennifer West,14,4.11,57,Super Senior,Early Childhood Education
Linda Brown,15,1.62,39,Super Senior,Engineering
Paul Jones,18,1.08,39,Freshman,Marketing
Linda Jones,14,3.08,18,Super Senior,Early Childhood Education
Chris Anderson,14,0.83,18,Jenior,Medical
John Brown,18,2.58,16,Freshman,Criminal Justice
James Moore,14,2.43,20,Sophomore,Engineering
Mary Anderson,19,0.91,52,Jenior,Marketing
Daniel West,16,3.29,52,Freshman,Business
Paul Smith,16,2.25,9,Senior,Biology
Elizabeth Wilson,14,1.5,26,Senior,Early Childhood Education
Kevin Anderson,15,3.72,1,Senior,Medical
Chris Taylor ,16,0.51,17,Jenior,Early Childhood Education
John Brown,18,2.88,56,Sophomore,Marketing
Mark Miller,18,3.3,40,Jenior,Business
Mike West,17,3.75,46,Jenior,Criminal Justice
John Wilson,16,0.79,10,Senior,Early College
Daniel Taylor ,17,1.93,49,Senior,Early College
Jennifer Smith,16,1.46,58,Super Senior,Early Childhood Education
James Moore,18,1.05,3,Senior,Criminal Justice
Paul Brown,18,0.67,3,Super Senior,Early Childhood Education
John Smith,17,3.52,34,Freshman,Early Childhood Education
Kevin Miller,19,2.34,36,Jenior,Business
Kevin Miller,18,2.36,18,Freshman,Medical
Daniel Williams,18,3.22,20,Senior,Medical
Mike Smith,14,4.2,15,Senior,Business
Kanye Moore,19,2.4,44,Freshman,Medical
Mark Brown,16,1.71,27,Super Senior,Early College
Mike Williams,17,0.7,38,Jenior,Medical
Chris Jones,19,4.14,0,Jenior,Engineering
Linda Wilson,15,3.02,2,Sophomore,Medical
Kevin Moore,15,1.69,26,Super Senior,Biology
Kanye Thomas,19,4.43,46,Super Senior,Marketing
Kanye Johnson,17,3.09,31,Sophomore,Marketing
Linda Davis,19,1.63,50,Super Senior,Medical
Chris Jones,14,3.99,41,Jenior,Early College
Linda Taylor ,16,1.9,19,Senior,Early Childhood Education
Mark Thomas,14,2.08,22,Jenior,Early Childhood Education
David Davis,17,1.2,24,Super Senior,Medical
Jennifer Brown,15,2.71,45,Jenior,Criminal Justice
Mike Wilson,17,2.89,12,Sophomore,Early Childhood Education
Elizabeth Moore,16,2.22,33,Jenior,Biology
Robert Brown,16,3.86,26,Super Senior,Early Childhood Education
Jennifer Moore,17,3.74,20,Jenior,Marketing
Robert Jones,17,0.49,51,Sophomore,Marketing
Mark Jones,17,2.23,59,Super Senior,Biology
James Wilson,14,2.58,21,Super Senior,Early College
Paul Taylor ,16,0.78,40,Jenior,Early Childhood Education
Elizabeth Taylor ,19,3.67,44,Freshman,Engineering
Paul Wilson,15,2.06,6,Sophomore,Early Childhood Education
James West,15,3.12,20,Super Senior,Marketing
Mike Smith,14,0.48,17,Super Senior,Biology
Kanye Davis,17,3.94,57,Freshman,Early College
Daniel Miller,17,4.0,11,Sophomore,Criminal Justice
Elizabeth Jones,14,0.68,35,Super Senior,Early College
Patricia Smith,16,1.68,31,Super Senior,Marketing
John Miller,17,3.27,38,Sophomore,Biology
James Anderson,18,2.82,46,Senior,Business
John Thomas,19,2.0,14,Sophomore,Engineering
Linda Anderson,15,0.69,46,Super Senior,Engineering
Patricia Miller,17,2.0,24,Sophomore,Early College
John Wilson,16,1.69,47,Freshman,Engineering
Kevin Brown,19,2.58,43,Jenior,Business
David Taylor ,15,0.34,35,Jenior,Medical
Kanye Miller,19,2.63,15,Sophomore,Early College
Mark Thomas,18,1.29,42,Freshman,Early College
Linda Miller,19,1.45,24,Freshman,Business
Mark Taylor ,18,2.62,14,Freshman,Medical
Robert Brown,19,0.87,43,Sophomore,Engineering
Kanye Anderson,14,3.15,12,Super Senior,Early Childhood Education
Mark Thomas,15,3.11,42,Super Senior,Marketing
Chris Johnson,18,1.94,47,Freshman,Marketing
David Taylor ,14,3.67,59,Senior,Medical
Linda Jones,17,3.73,13,Super Senior,Criminal Justice
Robert Brown,16,2.72,47,Freshman,Early Childhood Education
James Smith,16,1.62,50,Jenior,Biology
Chris Thomas,17,3.98,9,Jenior,Biology
Mike Thomas,18,2.79,10,Sophomore,Marketing
Kevin Williams,19,1.1,27,Jenior,Criminal Justice
Linda Brown,17,1.44,18,Super Senior,Criminal Justice
David Williams,15,1.2,36,Sophomore,Criminal Justice
Chris West,14,3.4,43,Super Senior,Engineering
Chris Johnson,14,0.77,22,Sophomore,Early Childhood Education
John West,16,2.16,49,Sophomore,Biology
Patricia Moore,16,4.47,53,Sophomore,Engineering
Kanye Miller,16,2.52,26,Sophomore,Early College
Daniel Wilson,15,3.29,0,Jenior,Early College
James Jones,16,1.91,38,Freshman,Medical
Mark Moore,17,3.65,53,Freshman,Early College
Kanye Williams,14,3.18,41,Super Senior,Early College
Mike Anderson,16,3.15,31,Senior,Engineering
John West,14,4.14,4,Jenior,Marketing
Kevin Davis,15,2.96,50,Super Senior,Marketing
Paul Taylor ,15,3.16,13,Super Senior,Criminal Justice
Paul Jones,16,3.33,34,Jenior,Business
Kevin Miller,19,1.97,17,Senior,Marketing
Kanye Wilson,17,0.64,50,Sophomore,Business
Kanye Anderson,18,1.98,12,Sophomore,Medical
Patricia Moore,19,3.61,28,Jenior,Biology
Robert Thomas,16,1.91,21,Senior,Business
Linda Williams,15,0.4,13,Super Senior,Marketing
Elizabeth Johnson,19,1.87,25,Super Senior,Engineering
Elizabeth Anderson,16,2.36,50,Freshman,Marketing
David Anderson,16,3.85,30,Senior,Criminal Justice
Mike Smith,19,4.41,31,Sophomore,Biology
Kanye Wilson,17,4.05,39,Freshman,Biology
Mary Miller,14,0.35,56,Super Senior,Criminal Justice
Linda Smith,18,1.82,35,Freshman,Biology
Kanye Miller,18,0.49,57,Jenior,Criminal Justice
Kevin Williams,14,4.0,53,Senior,Business
Robert Johnson,19,1.42,16,Sophomore,Early Childhood Education
James Smith,14,4.43,44,Super Senior,Biology
Chris Johnson,18,3.0,8,Super Senior,Biology
Paul Thomas,18,2.0,22,Senior,Criminal Justice
Kevin Thomas,16,1.13,35,Sophomore,Marketing
Elizabeth Anderson,15,1.15,57,Super Senior,Marketing
